MCC Code,Category,Description,Example
0742,Retail,Veterinary Services,Animal hospitals or pet clinics
0763,Retail,Agricultural Cooperatives,Farming cooperatives or supply stores
3000-3350,Travel,Airlines (various carriers),Singapore Airlines or Delta Air Lines
3351-3500,Travel,Car Rental Agencies,Hertz or Avis
3501-3999,Travel,Hotels and Lodging,Marriott or Hilton hotels
4011,Transport,Railroads,Freight or passenger rail services
4111,Transport,Local and Suburban Commuter Passenger Transportation, Including Ferries,Local buses or ferry services
4112,Transport,Passenger Railways,Train services like Amtrak
4121,Transport,Taxicabs and Limousines,Grab or Uber rides
4131,Transport,Bus Lines,Intercity bus services
4214,Transport,Motor Freight Carriers and Trucking,Delivery or haulage companies
4215,Transport,Courier Services – Air and Ground, Freight Forwarders,DHL or FedEx
4225,Retail,Public Warehousing and Storage,Storage facilities for goods
4411,Travel,Cruise Lines,Royal Caribbean cruises
4511,Travel,Air Carriers, Airlines – Not Elsewhere Classified,Budget airlines like Scoot
4722,Travel,Travel Agencies and Tour Operators,Expedia or travel booking sites
4723,Travel,Package Tour Operators (Germany Only),German tour packages
4784,Transport,Toll and Bridge Fees,Highway toll booths
4789,Transport,Transportation Services – Not Elsewhere Classified,Miscellaneous transport like shuttles
4798,Transport,Not a standard MCC; may be variant (similar to 4789),N/A; confirm with issuer
4829,Online,Money Transfer,Wire transfer services like Western Union
4899,Streaming,Cable, Satellite, and Other Pay Television/Radio/Streaming Services,Netflix or cable providers
4900,Utilities,Utilities – Electric, Gas, Water, Sanitary,Electricity or water bills
5021,Retail,Office and Commercial Furniture,Furniture wholesalers
5045,Retail,Computers, Computer Peripheral Equipment, Software,Computer hardware stores
5047,Retail,Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies,Medical supply stores
5065,Retail,Electrical Parts and Equipment,Electronic component suppliers
5094,Retail,Precious Stones and Metals, Watches and Jewelry,Jewelry wholesalers
5111,Retail,Stationery, Office Supplies, Printing and Writing Paper,Office supply stores
5122,Retail,Drugs, Drug Proprietors, and Druggists Sundries,Pharmaceutical wholesalers
5137,Retail,Men’s, Women’s, and Children’s Uniforms and Commercial Clothing,Uniform suppliers
5139,Retail,Commercial Footwear,Wholesale shoe suppliers
5193,Retail,Florists Supplies, Nursery Stock, and Flowers,Plant nurseries
5199,Retail,Nondurable Goods – Not Elsewhere Classified,Miscellaneous wholesale goods
5200,Retail,Home Supply Warehouse Stores,Home improvement warehouses
5262,Online,Marketplaces,Online marketplaces like Amazon
5306,Retail,Not a standard MCC; may be variant (similar to 5300 for Wholesale Clubs),N/A; confirm with issuer
5309,Retail,Duty Free Stores,Airport duty-free shops
5310,Retail,Discount Stores,Budget retail chains
5311,Retail,Department Stores,Takashimaya or Isetan
5331,Retail,Variety Stores,Dollar stores
5399,Retail,Miscellaneous General Merchandise,Convenience stores
5411,Groceries,Grocery Stores, Supermarkets,NTUC FairPrice
5441,Groceries,Candy, Nut, Confectionery Stores,Candy shops
5462,Groceries,Bakeries,Bengawan Solo
5499,Groceries,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,7-Eleven
5531,Retail,Automobile and Home Supply Stores,Auto parts stores
5541,Petrol,Service Stations (With or Without Ancillary Services),Petrol stations like Shell
5542,Petrol,Automated Fuel Dispensers,Self-service gas pumps
5611,Retail,Men’s and Boys’ Clothing and Accessories Stores,Benjamin Barker
