card_id,category
1,Dining
1,Transport
1,Streaming
2,Dining
2,Groceries
2,Petrol
2,Transport
2,Streaming
2,Entertainment
2,Utilities
2,Online
2,Travel
2,Overseas
2,Other
3,Dining
3,Groceries
3,Petrol
3,Transport
3,Streaming
3,Entertainment
3,Utilities
3,Online
3,Travel
3,Overseas
3,Other
4,Dining
4,Groceries
4,Petrol
4,Transport
4,Streaming
4,Utilities
4,Other
5,Transport
5,Overseas
5,Other
6,Dining
6,Retail
6,Streaming
6,Other
7,Dining
7,Groceries
7,Transport
7,Other
8,Overseas
8,Other
9,Online
9,Retail
9,Other
10,Travel
10,Overseas
10,Other
11,Online
11,Retail
11,Other
12,Online
12,Other
13,Online
13,Other
14,Online
14,Transport
14,Other
15,Dining
15,Online
15,Transport
15,Travel
15,Other
16,Online
16,Overseas
16,Travel
16,Other
17,Overseas
17,Petrol
17,Retail
17,Other
18,Online
18,Retail
18,Other
19,Dining
19,Entertainment
19,Retail
19,Travel
19,Other
20,Dining
20,Overseas
20,Petrol
20,Other
21,Overseas
21,Travel
21,Other 
