card_id,name,issuer,card_type,annual_fee,source_url
1,SC Smart,Standard Chartered,Cashback,0,https://www.sc.com/sg/credit-cards/
2,SC Simply Cash,Standard Chartered,Cashback,0,https://www.sc.com/sg/credit-cards/
3,Citi Cash Back,Citibank,Cashback,0,https://www1.citibank.com.sg/credit-cards/cashback/citi-cash-back-card
4,OCBC 365,OCBC,Cashback,0,https://www.ocbc.com/personal-banking/cards/365-cashback-credit-card
5,DBS Live Fresh,DBS,Cashback,0,https://www.dbs.com.sg/personal/cards/credit-cards/live-fresh-dbs-visa-paywave-platinum-card
6,HSBC Live+,HSBC,Cashback,0,https://www.hsbc.com.sg/credit-cards/products/liveplus/
7,SC Journey,Standard Chartered,Miles,0,https://www.sc.com/sg/credit-cards/journey-credit-card/
8,Citi Prestige,Citibank,Miles,0,https://www.citibank.com.sg/credit-cards/rewards/prestige-credit-card/
9,Citi Rewards,Citibank,Miles,0,https://www.citibank.com.sg/credit-cards/rewards/citi-rewards-card/
10,Citi PremierMiles,Citibank,Miles,0,https://www1.citibank.com.sg/credit-cards/travel/premiermiles-card
11,OCBC Rewards,OCBC,Miles,0,https://www.ocbc.com/personal-banking/cards/rewards-card
12,DBS Women's World,DBS,Miles,0,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-woman-mastercard-card
13,DBS Women's,DBS,Miles,0,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-woman-mastercard-card
14,HSBC Revolution,HSBC,Miles,0,https://www.hsbc.com.sg/credit-cards/products/revolution/
15,UOB KrisFlyer,UOB,Miles,0,https://www.uob.com.sg/personal/cards/travel/krisflyer-card.page
16,UOB PRVI Miles,UOB,Miles,0,https://www.uob.com.sg/personal/cards/travel/prvi-miles-card.page
17,UOB Visa Signature,UOB,Miles,0,https://www.uob.com.sg/personal/cards/rewards/visa-signature-card.page
18,UOB Platinum Visa,UOB,Miles,0,https://www.uob.com.sg/personal-cards/rewards/preferred-platinum-visa-card.page
19,UOB Lady's,UOB,Miles,0,https://www.uob.com.sg/personal-cards/rewards/ladys-card/index.page
20,Maybank World Mastercard,Maybank,Miles,0,https://www.maybank2u.com.sg/en/personal/cards/credit/maybank-world-mastercard.page
21,Maybank Horizon Visa Signature,Maybank,Miles,0,https://www.maybank2u.com.sg/en/personal/cards/credit/maybank-horizon-visa-signature-card.page 
